,essay_id,essay_set,essay,domain1_score,domain2_score,split,llm
446,3919,2,"Libraries are a source of information. They provide us with valuable research, entertainment, and cold hard facts. Therefore, I do not believe that libraries should have to censor the books that are supplied for the citizens to check out.      Everyone is faced with choices in life. Some are more difficult than others and will have a greater impact on your life. We decide if we want to wear the black shirt or the grey shirt, the blue shorts or the brown shorts. Everyday we have choices. We also have choices at a library. If we see a book with a title that sounds like @CAPS2 might be offensive, then we should just walk past @CAPS2. Most libraries are organized and the book sections are clearly stated. Common sense would tell us that this section might contain offensive material. We have the choice on whether or not we check out a book that might offend us or not. If @CAPS2 does offend us, then @CAPS2's our own fault.      The second reason libraries should not censor what books they provide goes right along with the choices we make in life. No one forces us to check out this book or that book. @CAPS2's a choice. No one puts a gun to our head and says, '@CAPS1 this book or you will die.' @CAPS2 just doesn't happen like that. No one forces us to @CAPS1 something we don't want to. @CAPS2's all up to you and how you feel about the book.      Different subjects offend different people. I'm not offended by a curse word here or there, however; I am offended by sex related instances that often occur in movies or books. I make my own choice to not watch or @CAPS1 those kinds of materials. Since everyone is different, the sex related instances might not offend another group of people and they might see @CAPS2 as perfectly fine to watch or @CAPS1. Different subjects offend different people and taking away a book or movie because @CAPS2 offends one person should not happen.      If libraries were to start censoring what materials they put on the shelf, I believe many people would be upset. Who would decide what is offensive and not offensive? @CAPS2 would upset too many customers and the use of libraries would probably dwindle. When you are in charge of censoring what goes on the shelf many problems come into play. Do you count different religions offensive because they blaspheme another religion's god? Do you count a certain work of fiction offensive because @CAPS2 contains one curse word in the whole book? There is no way to properly censor all your books without upsetting customers.     I'm not saying that libraries should be allowed to show every magazine known to man. Some are obviously worse than others; but, when @CAPS2 comes to books and movies, the people know what they are checking out and know what they will find offensive. There are too many people in this world to try and censor the materials libraries display. Libraries should not censor the materials they display",4,4.0,train,Score: 3
447,3215,2,"Do you believe that certain materials, such as books, music,movies, magazines, should be removed off of the shelves if they are offensive? My personal opinion is that they should not be removed. unless they are so inapropreate that children should not be avle to see.     That is my opinion because if readers go into the library and find an offinsive book to us might not be offinsive to him/her and his/her standards. And if it is offensive to him/her so what he/she is the one checking it out so he/she obviously knos what he/she is getting in to so there for we should not remove books off the shelves if they are offinsive, because offinsive to one is not offinsive to the other. well actually my opinion goes half and half because if the movievs and librarys are inapropreate then aldults should be the only ones to buy them.      That is my personal opinion many others @MONTH1 have different opinions on this subject but i just think every thing should just stay on the shelves. And movies sold to aldults and aldults only.",3,3.0,train,Score: 2
448,3272,2,"libraries have tons...of books, cd's, movies, and magazines for people to read. they have all kinds for people who have intrest in certain things.and some might be offensive to some people...let me tell you what i think!           Most people like stuff that is interesting to them and some like other things. There are certaint things for people for certaint ages to look at, there kids sections there is a teen section and there is an adult section. there could be some stuff that people will think is offensive. but that doesnt mean they would have to take @CAPS4 off the shelf they @CAPS1 @CAPS2 have to grab @CAPS4. simple as that.     and thats all there is to @CAPS4..and thats what i think about library products like that. and what people should do to not getting stuff that is offensive to them...'@CAPS1 @CAPS2 @CAPS3 @CAPS4'!",2,2.0,train,The essay demonstrates significant issues
450,4631,2,"Many people have different views on censorship. Some people believe there are movies, books, newspapers, etc that contain subject matter that is not appropriate for some viewers and that they should keep their writing on certain things to a certain extent or not at all. Other people believe people have the right to say what they want when they want, on a topic they believe the be true or not true, or very improtant to them, also called freedom of speech. Also people believe that yes, there are some things written out there that should not have been written but they have no control over and to some people it @MONTH1 be appropriate.      I do believe there are stories written that are not appropriate. But I know that even though I find the subject to not be appropriate or of any use to me, another person will. I know that every person out there is different and has their own beliefs on different things. If people had the power to control what books, magazines, newspapers and movies were in libraries then @PERSON1 was right, 'We would have no books left on the shelf for any of us'.           Certain books, newspapers, movies, and magazines could help certain people and be of interest to certain people no matter what the subject is or how inappropraite it @MONTH1 be as long as they are along the right age. If the story is plainly about drugs, sex, alcohol, and voilence with really no use to it, then yes I do believe it should be taken off the shelf. You do not know who could get their hands on that movie, book, or article. It could be a little kid and we do not want to open the door for that. People have many different beliefs and I do believe we should not take anything off the shelf that could be of use to anyone, but I also do believe there is a certain extent.",3,4.0,train,To evaluate the essay according
451,4296,2,"Dear Newspaper,      I would like to start off by saying yes, books, magizines, music, movies, etc., are great for the kids in the library.  I think thats the best thing for them to do when they dont have anything to do, go to the library and read or work on stuff in the library and I think that some things should be in the library because we are in high school and we need to learn some things here but some of the things we learn are not very appropriate.      In high school just walking down the hall ways your going to learn alot of things you probably dont need to know yet but when you walk into  a library they dont need to encourage it by putting  books of drugs, alcohol, and sex on the shelves.       Books about drugs are alright to an extent.  If your reading about medicanes you can take and being in the doctors office and getting percriptions is alright but when you got books about pot, weed, crank, or meth thats a little much.  We need to learn about those drugs and what they could do to us if we use them or abuse them but we dont need to know how to roll a blunt or make meth.      Books about alcohol are the same way.  We need to know the dangers of drinking but we dont need to know about teen parties and things to do when your drunk.       Advertisements, magizines, etc., are the worst things for us kids because everyone of them have something to do with drugs, alcohol, or sex and trying to get us to do those thing in high school. The front cover of magizines always have people who have got caught with drugs who is dating or sleeping around with who and ik that we will and need to know these things but i dont think we need to read them out of books because then we read it and see how other people did it and we feel the need to do it or try it.     I believe these books that are over the line about alcohol, drugs, and sex need to be taking out of the librarys so that the kids have something to learn about and ask there parents about.  I have been in the librarys and I know for a fact that the first books I go for have one of those three invloved in it because those are interesting and we like reading about stories at parties or someone getting pregnant or an @ORGANIZATION1 but also when I read I think about it and I think I want to go to a party they made them sound fun.     This is what I think about some of those books on the selves and what I think should happen.                                                                       Sinceraly,                                                            @LOCATION1",3,3.0,train,Score: 3
452,2988,2,"Have you seen a magazine, book, movies, etc., that are found affensive? What experiences did you have? Here is my opinion on if I think that those books should be removed or not.       I have noticed that some movies are affensive to other people. Like for an example, the @CAPS1 movies, books is about @CAPS2 and some people don't believe in them or they don't like the movie so I do kind of see no point of making a movie that is about someone that is not real. However, some movies are okay for some people and their age. The movies that are rated '@CAPS3' are for the people who shouldn't be watching it yet like kids under the age.      Magazines though do have some type of thing that I think that is affensive to other people. Like, I don't remember the name of them but they would have sections that would talk bad about another person like one of the kids would talk about the president or something like that. So I think some magazines should be removed off the shelves.      The books however, I don't see a reason why to have them removed off the shelves. I don't think the books seem to be affensive as much as graphical. There could be some books out there that might be affensive to people though, like the ones that talk about a family that has no money or talk bad about them. For an example, you would be able to find a book and read it and find out that it is talking bout things that you don't want to know yet or want to know.      So as you can see I have made an opinion on what they should do either keep the books, magazines, or movies off the shelf. But then I do see it the other way to. Some of us do like those kind of movies or book or even magazines and think that is very cool or interesting",3,3.0,train,Score: 2
453,4353,2,the scary book that you dont want your children to pick up off the shelf i think if your kids read it they would be scared having night mares and you probaly dont want that and if u have the right to move it your kids will have the right to move it because they see what you do they gonna wunt to do so u can do it when they are not around  and yea i believe that cetrtain materials.,2,1.0,train,Score: 2
454,4246,2,"Every parent wants to protect their child's innocence. They do not want their children to come in contact with things that might influence their decisions. The truth is though that they are going to run into these types of things eventually, whether it be from other kids at school, what they see on television, or what they see on the @CAPS1. It is their choice as of what decisions they are going to make, so I do not think libraries should be censored due to the content of the material.     One reason libraries should not be censored is because nobody is forcing a person to pick up material that might have offensive content. It is all about choices. There are a lot of other options on the shelves that do not include such topics. Some people @MONTH1 want to read or watch something with such content. Taking these pieces out of libraries would not be fair to them. People should have the option to read or watch what they wish. Censoring libraries would take away these people's right to such topics.     Another reason libraries should not be censored is that eventually nothing would be left. As Katherine Paterson said, 'And then we have no books left on the shelf for any of us.' @CAPS2 is a very true statement. After one censoring, people might still think topics are inappropiate, and the libraries would have to be censored again and again until there is nothing left. People eventually will not be able to use libraries. Losing libraries as an option will cause people to lose their right to that resource.      A final reason that libraries should be left uncensored is the difference of opinions. What @MONTH1 be offensive to one person might not be to another. How would what should be gotten rid of and what should not be decided? It would be much easier to just leave the people to make their own decisions on what okay to read and watch and what is not. Nobody is forcing people to pick up a book or magazine that is going to offend them. If you do not like what is being discussed, do not read or watch it. It is as simple as that.      There are many more reasons libraries' content should not be censored, but here are three reasons that are obvious. Censoring libraries are going to eliminate a person's choice. It will cause problems, as to what is appropiate and what is not. Eventually libraries will have nothing left. Of course every parent wants to protect their child, but eventually they are going to grow up and have to make their own choices. Censoring libraries is not going to stop children from learning about offensive things. All you can do as a parent is raise them well and hope that you have taught them right from wrong.",4,4.0,train,Here’s the breakdown of
455,3870,2,"Newpaper company,@CAPS1 am writing to this company on why I think the certain books, music, movies and magazine should be removed form the shelves if they are found offensive. @CAPS1 wirting to tell you from my own experience and readings that will convince a argument. @CAPS1 reflecting my view on censorship in libraries. @CAPS1 writing so you can hear me out on what I have to say and persuasive you on this essay.     First, I think know book should be taking off on any shelf of any library. Rather if it was to do with people thoughts on religious, race or any other thing that has been offensive to anyone in the past. For example, gay and lesbian marriage peoples thoughts and opinion on this topic. I beileve that know one should disrespect anyone opinion on what they have to say. It depends on what kind of language your using for this type of subject if its has harsh words and its suppose to be harmful, then yes it should be remove. Another thing is children taken books off shelves. Maybe you should ascort your child in the child section and telling him or her what they should not do like taking stuff down that they are not suppose to. What I'm saying is if suppose to hurt other and is offensive using negatively words to harm others feelings, it should be remove.      My letter to you was to show you on my opinion on what I think should be in a library or not. I have use some examples and common sense to show you my point of view on what I think is right or wrong in this situation. I hope my topics and argurment has convince you on if you should remove a book from a shelf.                                             @ORGANIZATION1",3,3.0,train,Here’s the breakdown of
456,3489,2,"Do you believe everyone should have their on beliefs? Do you believe everyone should express themselves through their own culture, or have their own opinions? Where's that one place where you can experience all of those? In a library no one can judge you for your beliefs, culture, or opinions. In a library you have the right to have an open mind.     I believe that any kinds of books, music, movies, magazines, or any other material should not be removed from the shelves if they are found offensive. Everyone is different and has their own beliefs and understandings. For example, if someone were to go to the library and purchase a book about the famous and deceased @PERSON1, and the other person did not like @PERSON1 and did not understand his cultural background they would take it offensive to come across that book on the shelf. If everyone had a say on what books or other materials were put on the shelves of libraries, we wouldn't have any libraries.      If everyone kept their opinions to themselves in libraries everyone could possibly remain happy and have no arguements. Everyone could express themselves everyday, in their own way",3,3.0,train,Here’s the breakdown of
457,4651,2,"I believe that certain materials should not be removed if they are found innapropriate. There are several things that explain why I think this.     For one thing, some libraries don't have certain genres of books. For example, say one library @MONTH1 have action but not thriller while another library has thriller but not action. If some materials were removed from public libraries due to censorship, people would only be able to find it online or in certain stores. Second reason being that kids would not get into these kind of books if it was innapropriate, unless they're given approval by parents. If these materials were to still be on shelves, you should at least be a certain age to read it, unless the parents make it to where their kids don't have to get approval from them first. Sure it would make the library more kid-friendly, but a book shouldn't be kept away from a kid only because of a few bad words. Lastly, some adults would be upset of the removal of some books. Some books that are intended would be better off staying in the library. If they were to remove these books, adults would then have to find a book online.     So censorship, to me, is not going to make any difference. If this continues, it @MONTH1 lead so far, that the libraries would have to be closed. Take my word for it. In conclusion, don't let censorship take over our libraries.",3,3.0,train,Here are some key issues
458,4623,2,"In my life time I have been to many libraries. I also seen many diffrent catagories of books suck as comedy, fiction, non-fiction, drama, and etc. As we all know there are many topics out thier that is not suitable for minors or suitable for many other ages.     Movies in this time and age reveal to much for you eyes. For example in cartoons their are sexual content such as kissing .Some parents don't want their child expose to the kind of activity yet. Movies somtimes put false beliefs in peoples mind about the way things are, going to be,or the why you sould see it.Their are also some good movies place in libraries such ass docomentries, history , biography, and etc. Thats gives you good insite on how things was and hoe things are now.     Another topic is magazines. Its strange things going on in the world that @CAPS1 sould be aware of the why we put them in magazines but children have easy access to them in libraries. Picture that magzines have are images that sould be places in some magazines. As there are bad things there are also good that come from magazine. Magazines are in some ways just as useful as books. They carry very helpful information.     Music is aslo a big topic thats placed in libraries. Some of the lauguage thats is place on  cd tracks are good BUT  theirs alot of bad material that on them also. So many people out the known as @CAPS2 say some very harsh and profaine words that many and children sould just not want to hear. Like I said before as their is bad thier is much good. We have gospel , jazz, @CAPS3&@CAPS4, and etc that many people enjoy listing to.     In conclusion thier are many things good that belongs in libraries but also many bad. Libraries in my opinion sould take more caution on what people have access to. Very easy a young child (that can read) can pick up a adult book go sit in a corner read and be expose to most things parents are expose to. So in my opinion yes certin things should be removed from the shelves if the are found offensive.",4,3.0,train,Score: 2
460,3158,2,"I feel that they shouldnt be removed due to the fact that somebody else @MONTH1 like that movie, book, music, or magazine. Just becuase we might not like it doesnt mean theirs somebodyout there that do. Everything shuld be in the library becuase their are different people and not everybody like the same things.      The library suppose to have everything so if we declared to take something off the shelf becuase due to the fact one or a couple more people dont like something or whats being displayed out to people it wouldnt be right. I have been to the library and looking for an movie or a book that i like or want to see and it have not been there i have got mad for that. So ifeel as if it's not right nor fair. Everybody should have their right to what ever it is that they read or like to watch.     Even though there are certain books or movies out their that chidren should not touch, i still feel as if they shouldnt remove anything off th shelves.",2,2.0,train,Here’s the breakdown of
461,3916,2,"Censorship is not an easy question to anwser; it involves a great deal of thought. When thinking about a topic like this you must look at a greater picture. You should think about after math like thoughts and opinions from everyone else. When it comes to censorship in libraries I feel that all the books should be left on the selves.      So, why would we take books away from people who want to read them just so that others don't? If you don't want a child to look at adult books, then you can censor them by watching them, and not taking them to places that have such books. This way other people can read these books.  If you truely think about it, then you will relize that if you are trying to keep something from a teen they can, and will, find a way of getting it. If you are trying to keep things from them that will only make them want it more.     Books are good for people. It tells them stories that cannot happen, past events they did not live through, and even the thoughts of others. Keeping books away from people is not good for them; they would not be able to learn from the things they read. So, maybe some books are more racie than others, that does not mean you should hide it from your children.      If you were to start censoring books in libraries it could cause some problems. Now you will have no books for some people. You will have taken most books out of libraries because one person thinks it is not good for the children. This will cause arguments over what should and shouldn't be in the library, and people will stop going to the library all together.     So, when you think about banning books just remember that there are other places to get books. Books are good for people especially teens, whos minds are developing. In some places books that are banned to other places are celebrated. When trying to get rid of books just think about the people you are taking them away from",4,4.0,train,Here’s the breakdown of
462,4373,2,"Throughout time, fellow people have struggled to censor or ban material that they consider offensive. It @MONTH1 be the way they were brought up, or simply what they beleive. I do not beleive that it should be up to anyone to say what should and should not be censored for anyone but themselves. Everyone has one life, and in this one life we create our personal oppinions and beliefs on what is wrong and what is right. We are completely unaware of many people throughout our life cycles, and saying what should be banned from everybody is almost claiming you know the morals, beliefs, and customs of everyone in the world.     If I came to school one day and brought a book that contained material that I think is relevant and not just pure exploitation, then I should be able to read that as long as I don't influence others by their own will. Let's say another student sees me reading that same book and he has grown up in a household that taught him that the situations and material in my book are overly offensive, I do not think he should be able to create a ban of this book just because of his own upbringing. There is such a thing as mass agreement, but there is also a thing called mass ignorance, and to say that I know what should and should not be shown to other people is completely ignorant on my part.      I think the only allowance of censorship should be from parent to child. That is the only situation that someone should be allowed authority over someone else, because they have undeniable duties as parents, and they be able to say what is right knowing they are creating a child to think what is wrong and what is right in their mind",4,4.0,train,Here’s the breakdown of
463,3771,2,"Libaries everywhere might have a book or two that @MONTH1 be offensive to a reader. I haven't found a book offensive to my readings just yet. Some people might think that some music, movies, magazines, etc., should be removed from the shelves of the library. But some people are against it, like me. Its going to take more than one person to remove the music, magazines,etc., from the library.     Music in the library is good because you can't find old music like in the @DATE1's in a music store. If someone finds music offensive in the libary it might be because they don't know the history from where the music came from or what the artist has been through. Say for instance the person is offended by hip hop music. I'm sure there's a book for that and the person can look up where the music came from. Maybe then they wouldn't be so offeneded.     Magaizines in the library are really for people who love the media. There are so many magaizines that have interesting facts about what happen or what's going to happen. For example @ORGANIZATION1 has all the newest event or something big that happend, just in that one @ORGANIZATION1. Then there's advertisments, how would people get money if they didn't put there adverstisment in a @ORGANIZATION1 so people could buy there product. If not nobody would buy the products.     Movies in the library are for teachers to show students. Half the stuff in the libary, you can find at blockbuster or walmart. It's because the library has old movies and current events that happened years ago. They might even have a movie to go with the book the reader has read, but some people are more visual with the movie. So they read books.     Overall I hope the music, magazines, and movies stay on the shelves of the libraries and don't change they way the library is doing things. Some books might already be off the shelves that people have complained about or got offeneded by already. So its already too late for that. But its going to take more than one person to be aganist it. So that's my view on taking out music, magazines, and movies out of the library",4,4.0,train,Here are some key issues
464,3440,2,"Should taking books, music, and movies off shelves of libraries even be questioned? Aa stated in our constitutuion, people have the freedom to information. People have had this luxury every since the beginning of this marvelous country. Also @CAPS1 have the choice to either pick up a type of book or not too. So to answer my question, taking types of books and movies off shelves is completely out of the question,     In the @ORGANIZATION1, it @ORGANIZATION1 that people have the freedom of speech, religion, and many others including freedom to information. Due to this reason places like libraries should have as much information as possible out on there shelves. Even if some of the conduct is inapropriate, it is still serves a way to educate. Which for children, education is largely what their childhood is for. Parents and teachers are always pushing their kids to go out, read and learn new topics other than what is being taught in the classroom or at home. If books were to be taken of the shelves, we @CAPS1 would only be depriving our youth of knowledge in the world. All books or magazines @MONTH1 benificial to some and offensive to others. However for those who would find this beneficial do we want to simply go against our @ORGANIZATION1 and deprive them of that information?     Another topic in the @ORGANIZATION1 is the freedom of choice. Even if bad books or magazines are on the shelve, children have the choice to pick them up. Parents should simply tell there kids to leave those types of materials alone and choose something else. Having books that @MONTH1 seem innapropriate to some, aren't hurting anyone by just sitting on the shelve. However some, @MONTH1 come aross a book like this and find it very interesting and decide to check it out. This action plays no effect on child who is not supossed to be viewing material like that. Finally, it is very simple to avoid this type of information, all one has to do is simply not choose to look at it and walk right by it.     As for myself, I personally as a child was not allowed to view certain types of movies, books, or magazines. For example I was restricted from watching rated @CAPS2 movies or things with innapropriate sexual actions. Since this was the case, I simply avoided those types of movies or magazines that had those types of content. For most of my childhood I did this and it was very simple. However, I don't think it would be fair to remove those types of things from other children. For the reason that it's their choice to do what ever they would like and that it has no affect on me at all. Lastly, I feel like removing certain things from libraries would be very unfair to children who have the privelage to view them.     In conclusion, removing materials,s uch as books, music, and movies is completely absurd. As I said before doing something like this, would be going against our constitutuion. The answer to solving this problem to me is black and white, children should just not pick up those types of materials end  of case",4,4.0,train,Here’s the breakdown of
466,3658,2,"Have you ever been at the library and asked yourselve any of the following questions? Who reads this? Why is it here? Are kids reading or watching this stuff? Do kids check these out? Or have you ever wondered or said to your self any of these statements? I don't want my kids to pick this up and read this. This is so offensive. This goes against all our morals. I don't know what kind of freak convention this is but I'm no part of it. Lets get out of here. This place is wack. Ever consider what books get banned from the library? Who bans the books?          I think things should have to be very offensive to pull them off the shelves. I think that they should just stick them to a side of the library and put a age on it or you have to be a certain age to check out those books. I dont think the cussing books are that offensive. When the person (No matter who it is)goes out into the world. They are going to learn and hear curse words. People use them like they do the words 'and' or 'the'. They are going to hear them till thier grave. Wheather they chose to use them or not that's thier choice.        For them to be banned or moved to a diffrent group of books they should have to be sexist, raciest, have alot of sex, or just really grusome. I think they should go upstairs with the mushy romance and wacked out western. I mean people could go up there and check them out but that is the adult library area. The staircase should be by the circulation desk. When they are not busy they should go upstairs and check and see if there are any young children up there.      I think The top level or a certain area should be the adult area. They have mushy lovey dovey stuff, they have cow boy shoot off stuff, and the offensive stuff. The stuff with too much sex, really raciest, or really sexist, or grusome stuff like people killing people for fun.Also they should have the adult magazines up there too. Don't act like you don't know what im talking about. You know how you go down a aisl at the @CAPS1 market and there are girls in thier bikini and half naked. Then there are the cosomos both should be upstairs. I mean they talk about how to give pleasureable sex. I would hate for some little @NUM1 year old or @NUM2 year old to pick that thing up she would be scarred for life.      Then the main level or area should be teen books. You know vampire books, @CAPS1 heros, crazy fiction stuff, and then the magazines and movies that aren't bad. Then the bottom level should be the children level. Games puppets and movies and easy books. That about sums that up.      I dont think just anybody should be able too ban a book. I think it should be open but not just anyone. There should be a huge meeting. With the mayor, a couple teachers one english teacher from each level, and parents, and the librabiens. The person who wants in banned should have to tell everyone why and stuff. Like Author Katherine Paterson said 'All of us can think of a book we hope none of our children or any other children have taken off the shelf. But if i have the right to remove that book from the shelf, then you also have the exact same right and so does everyone else. And then we have no books left for any of us.",5,4.0,train,Here’s the breakdown of
469,4126,2,"Can literature, which is the basis of civilization, be censored?  Can you take these ideas away from those who wish to think them?  I think not, for it would be a futile endeavor to even attempt. To keep something as important as written word away from the culture of the people, would be one of the highest crimes against humanity and could not rightly be condoned, in my mind.      Not only would this attempt be a futile (for the people know ways to extract information) it would be downright idiotic of the 'administration' to do so.  I will concede that there are explicit materials out there that are not suitable for children or even adolescents, but that is where the parent should step in by setting guidelines and positive examples which their children feel the need to follow.  Not feel that they 'have' to, but feel that they 'need' to.  If parents cannot take control and decide what is appropriate for their children, then in my mind, they are not doing their first and foremost job as a parent that is to protect the child.  Some @MONTH1 say that the censorship of culture is protecting the children, but I say that this is not so.  I believe censorship is a lousy excuse so that parents and upper government officials have to do less work.     If every piece of written, filmed, or recorded work, that was offensve only one person, was thrown out on that basis, there would be none.  There has never been a piece of literature, film, or music that has not offended someone in some way, whether it be spiritually, ethnically, or morally.  The fact is that people cannot exist without strife and misery, and whatever people can do to cause that strife and misery, they will.   People find all sorts of ways to do it, whether it be war, discrimination, media, or just downright obstinance, they will find a way to offend their selected party.     I personally am appalled at the aspect of censorship, for if a person cannot speak his mind, then is he more than a mindless homunculi?  Created and controlled by the government surrounding him.  Made their slave through ignorance.  If in a society I  cannot say what I need to say then I do not wish to live in that society, for it is nothing but a horrible image of civilization.     In short I do not believe that libraries should be censored, rather that parents should pay more attention to their children and dependents.  If a person is offended by a certain thing, then it is their absolute right to not take part in whatever it @MONTH1 be, but these afflicted peoples have absolutely NO right to say what I @MONTH1 or @MONTH1 not read!  If this offends anyone, then I apologize, but at least you knew enough (through your education by media) to be offended and not just another mindless sheep",4,4.0,train,Here’s the breakdown of
470,4266,2,"Dear @CAPS1 @CAPS2 @CAPS3,           I have been through some different libraries lately to see what other kind of information they had. I am also afraid to tell you that i have seen a censorship problem with our public libraries. I can understand why they might censor some of the more mature/graphic novels because of the children going in and out of the library all day, but, i do not believe that everyone else shouldnt be able to get the books they want because of content issues.One reason why i think there shouldnt be censorship in libraries is because some people need to find information on certain topics and there might not be any reliable information on it on the internet.if students in highschool or college dont have the information they need to write a paper or do a project for their classes then their grade could drop and also they could fall behind in work becauase theyre trying to catch up to where everybody else in their class are working.Another reason I think censorship in our libraries is because some of the things they censor could be the only copy of the book or the only one thats close to where you live. If they censor the one book that you need then that could possibly ruin the whole book for them. I believe that if a person is over the age of @NUM1, they should be able to take out any book they want and have it be uncensored. some people @MONTH1 take offense to some things written in these books, but if they dont like something, they shouldnt check it out in the first place.There are plenty of people around this world that have interest in millions apon millions of different topics. Also, some people @MONTH1 not be able to reasearch or explore their topics as much as they would like to because of the censorship problem in public libraries.if people could learn more about their interests they could go on to bigger and better things or maybe even just get a little bit smarter.In conclusion, I believe that censorship in libraries should be banned because of the problems it can cause and the effect it has on people. Censorship is a problem that needs to be dealt with as quickly and effecintly as possible.",3,3.0,train,Here’s the breakdown of
471,3788,2,"Throughout my life, I have seen many books that seem offensive to me. However, they should not be censored just because they seem offensive. I believe that books that are found offensive should not be censored.     A reason why I think books that are found offensive should not be censored is because what seems offensive to one person, @MONTH1 not be offensive to another. Classifying something as offensive is an opinion. Unless everyone in the whole world thought that a book was offensive, it should be able to remain open to the public.         Another reason why we should not censor books that are found to be offensive is because in our @LOCATION1, we are given the right to express ourselves freely. If we censored books that are found to be offensive, we would be violating this right. This would not be fair to the people who wrote the books and to those who like them.     The next reason why we should not censor books that are found to be offensive is that if we were to censor every book that we found offensive, we would not have any books to read at all. Books that some people like are found offensive by others. For example, suppose a few people loved the @ORGANIZATION1 @ORGANIZATION1 series but another person who read it later found it offensive and had it censored. The people who loved the @ORGANIZATION1 series would now find the books the other person likes and censor them. If this continued, we would have no books to read.     Another reason why I believe books should not be censored is because without offensive books, we would never learn from terrible mistakes. Suppose every book relating to both world wars were censored and could not be read. Sooner or later, no one would remember what terrible things happpened and history could possibly repeat itself. Unless having books that seem offensive is worse than having the events we dread happen again, then books that are found offensive should not be censored.     I believe books that are found to be offensive should not be censored because without them, we would be violating the right to freely express ourselves and we would be allowing terrible things that happened in the past to be forgotten. Without books that are considered offensive, we would not have any books to read at all",4,4.0,train,Here’s the breakdown of
472,4025,2,"'All of us can think of a book that we hope none of our children have taken off the shelf. But if I have the right to remove that book from the shelf-that work I abhor-then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us.' @CAPS1 quote from @PERSON1 voices a strong point on citizenship. Censorship happens everywhere you are. Whether its a book, a magazine article, or even a tv show things are censored. Censoring things doesn'@CAPS7 make anything more enjoyable, but infact makes less things enjoyable.     I think that things that are offensive should niot be removed from the shelf. Censorship diasble the viewer and or reader to be able to enjoy the full potential of things. I myself watch tv shows all of the time. When the censor things it makes me angry. I already know what the words are so why censor it. @PERSON2 wrote a famous book called @ORGANIZATION1. and that books has been banned from being taught in schools simply because it says a racial term. I have two things to say about it. One if it offends you then you shouldn'@CAPS7 watch or read it. Second one would have to consider the time and age that the book has taken place and that was language used back then. So then one could take in thoght when the book was written, what was the time of when the book had taken place, ect.     There are two books that I read called the @CAPS2 and @CAPS3 @NUM1. Both books have one thing in common. The use of censorship in their society. In @CAPS3 @NUM1 books are censored. @CAPS1 causes one to challenge that concept because he and others felt that it wasn'@CAPS7 fair for books to be banned. Also in the @CAPS2 a boy challenges his @CAPS6 society because they too censored certain things. Censorship also happens in todays' media. Some example are @CAPS7.V shows. TV censors vulgar language, and sometimes violence and gore. Now its understandable to censor childrens shows but shows for mature audiences are unacceptable. Considering the freedom of speech one can express. Also mature shows are only ment for mature people to watch them so why censor them?     Katherine Paterson makes a valid point in her quote. I feel that if you find something to be offensive then don'@CAPS7 read or watch it. If you feel that something is so offensive to you that you have to compell otheras in to believings what you think then you are wrong. People should have the right to read, watch, or listen to anything they want uncensored.",4,3.0,train,Here is the breakdown of
473,3792,2,"I believe that if something is found offense to someone then it dosent mean its offense to someone else. In libraries there are books, music, movies, magazines, etc, some of these different type of things @MONTH1 come across as offesnse to some but others @MONTH1 enjoy it. Therefore it shouldnt be taken away from those who enjoy reading or listening to these things.          Some things such as adult novels and explict music are things people consider to be offensive. But what they dont understand is that some people actually enjoy listening or reading this material so taking it away from them is not right. Everyone should be able to have different likes in these areas. Everyone is not the same.     If you attend a library you should be able to find something that fits your style or sparks your intrest. If the things that people like are being taken away then its not giving them a wide variety of things they enjoy doing. Its more likely closing them out on things they like because other people dont like it or find it offensive.     Lastly, those that think that these things are offensive are entitled to there opinion. But so are those that believe that these things are good. There should remain a variety of different books, music, and other things that appeal to all types of personalities.     Everyone has a right to say weither they dont like something. But what you dont like someone else does. So to take away things that other people enjoy is unjust.",3,3.0,train,Here’s the breakdown of
